sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
240, 2478555, 501197, 495660, 450853, 456281, 287282, 287282
241, 2476921, 492633, 506878, 462243, 448083, 283542, 283542
242, 2477549, 510776, 488318, 444436, 465157, 284431, 284431
243, 2480214, 498958, 499716, 454933, 454617, 285995, 285995
244, 2475385, 489105, 508795, 463633, 445126, 284363, 284363
245, 2477780, 498368, 499967, 455402, 454127, 284958, 284958
246, 2479381, 497901, 498191, 453942, 453193, 288077, 288077
247, 2479645, 496874, 496113, 451894, 452490, 291137, 291137
248, 2478165, 491437, 509571, 464444, 447489, 282612, 282612
249, 2474917, 500863, 496289, 451964, 456167, 284817, 284817
250, 2478537, 498099, 499706, 455157, 453747, 285914, 285914
251, 2477809, 498255, 496818, 452041, 453749, 288473, 288473
252, 2478198, 497337, 499903, 455369, 452511, 286539, 286539
253, 2477476, 491947, 506131, 460823, 447591, 285492, 285492
254, 2478289, 494119, 508750, 463763, 448995, 281331, 281331
255, 2477696, 501498, 496613, 451988, 456635, 285481, 285481
256, 2479341, 491615, 506393, 462020, 447305, 286004, 286004
257, 2471509, 502825, 497695, 452475, 457890, 280312, 280312
258, 2478450, 496622, 503044, 458789, 451991, 284002, 284002
259, 2477722, 506998, 493228, 448404, 462126, 283483, 283483
260, 2475854, 494382, 502387, 457184, 449627, 286137, 286137
261, 2480415, 500716, 495226, 451044, 456021, 288704, 288704
262, 2481588, 501542, 499515, 454897, 457214, 284210, 284210
263, 2476376, 493000, 505472, 460450, 448382, 284536, 284536
264, 2480187, 500383, 495540, 451241, 456335, 288344, 288344
265, 2476790, 501756, 494564, 449810, 457286, 286687, 286687
266, 2474646, 506919, 483894, 439175, 461574, 291542, 291542
267, 2481292, 504808, 495277, 450916, 460351, 284970, 284970
268, 2480884, 490180, 509846, 464579, 446303, 284988, 284988
269, 2477090, 493901, 500823, 456282, 449660, 288212, 288212
270, 2479402, 495912, 502953, 458538, 451285, 285357, 285357
271, 2474084, 495698, 500139, 455385, 451142, 285860, 285860
272, 2476363, 505362, 484200, 440066, 460549, 293093, 293093
273, 2479895, 490875, 506483, 462054, 447051, 286716, 286716
274, 2478152, 494429, 501716, 456887, 450240, 287440, 287440
275, 2479882, 504572, 496878, 452274, 460020, 283069, 283069
276, 2475264, 493501, 503350, 458046, 448515, 285926, 285926
277, 2480454, 498236, 499333, 454943, 453418, 287262, 287262
278, 2475524, 498066, 498062, 453630, 452764, 286501, 286501
279, 2478595, 488407, 510623, 465207, 444050, 285154, 285154
280, 2476499, 506882, 494013, 448832, 461336, 282718, 282718
281, 2478620, 501048, 500302, 455156, 456668, 282723, 282723
282, 2479276, 501670, 501113, 456357, 457092, 281522, 281522
283, 2474047, 516631, 478767, 434775, 471076, 286399, 286399
284, 2476677, 498459, 501855, 457034, 453515, 282907, 282907
285, 2476272, 509940, 498128, 453572, 464438, 275097, 275097
286, 2477673, 505875, 497935, 453034, 460733, 280048, 280048
287, 2475151, 491982, 499822, 454944, 447783, 290310, 290310
288, 2478779, 490258, 512577, 467309, 445717, 281459, 281459
289, 2482186, 513759, 486409, 442067, 469287, 285332, 285332
290, 2481848, 512669, 497519, 453566, 467678, 275208, 275208
291, 2481648, 499099, 506384, 461577, 454680, 279954, 279954
292, 2477830, 499261, 500443, 455528, 454638, 283980, 283980
293, 2481714, 497025, 495568, 451296, 452593, 292616, 292616
294, 2473520, 490982, 506035, 460873, 445778, 284926, 284926
295, 2480046, 491297, 507230, 462618, 446869, 286016, 286016
296, 2478228, 500556, 494498, 450431, 456083, 288330, 288330
297, 2478700, 496287, 501528, 456914, 451617, 286177, 286177
