cluster_size,total_clusters_of_this_size,n_s
584,294,2.9400000000e-11
585,287,2.8700000000e-11
586,306,3.0600000000e-11
587,285,2.8500000000e-11
588,281,2.8100000000e-11
589,275,2.7500000000e-11
590,260,2.6000000000e-11
591,287,2.8700000000e-11
592,272,2.7200000000e-11
593,273,2.7300000000e-11
594,262,2.6200000000e-11
595,274,2.7400000000e-11
596,275,2.7500000000e-11
597,264,2.6400000000e-11
598,246,2.4600000000e-11
599,268,2.6800000000e-11
600,218,2.1800000000e-11
601,266,2.6600000000e-11
602,235,2.3500000000e-11
603,273,2.7300000000e-11
604,240,2.4000000000e-11
605,248,2.4800000000e-11
606,241,2.4100000000e-11
607,248,2.4800000000e-11
608,231,2.3100000000e-11
609,235,2.3500000000e-11
610,231,2.3100000000e-11
611,236,2.3600000000e-11
612,208,2.0800000000e-11
613,249,2.4900000000e-11
614,212,2.1200000000e-11
615,263,2.6300000000e-11
616,215,2.1500000000e-11
617,223,2.2300000000e-11
618,236,2.3600000000e-11
619,215,2.1500000000e-11
620,221,2.2100000000e-11
621,234,2.3400000000e-11
622,228,2.2800000000e-11
623,253,2.5300000000e-11
624,232,2.3200000000e-11
625,207,2.0700000000e-11
626,186,1.8600000000e-11
627,206,2.0600000000e-11
628,187,1.8700000000e-11
629,182,1.8200000000e-11
630,174,1.7400000000e-11
631,213,2.1300000000e-11
632,210,2.1000000000e-11
633,205,2.0500000000e-11
634,204,2.0400000000e-11
635,191,1.9100000000e-11
636,183,1.8300000000e-11
637,197,1.9700000000e-11
638,164,1.6400000000e-11
639,168,1.6800000000e-11
640,187,1.8700000000e-11
641,191,1.9100000000e-11
642,181,1.8100000000e-11
643,170,1.7000000000e-11
644,196,1.9600000000e-11
645,176,1.7600000000e-11
646,152,1.5200000000e-11
647,156,1.5600000000e-11
648,173,1.7300000000e-11
649,166,1.6600000000e-11
650,177,1.7700000000e-11
651,159,1.5900000000e-11
652,151,1.5100000000e-11
653,149,1.4900000000e-11
654,159,1.5900000000e-11
655,157,1.5700000000e-11
656,164,1.6400000000e-11
657,152,1.5200000000e-11
658,142,1.4200000000e-11
