L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
180,0.15381600,1000,5.0491978704e-01,9.5395826467e-04,2.5494490047e-01,6.4997829437e-02,0.6666619117625766
180,0.15672500,1000,4.9311121365e-01,9.2693611099e-04,2.4315952738e-01,5.9127390510e-02,0.6666619606257197
180,0.15959300,1000,4.8144427589e-01,8.7625925458e-04,2.3178935785e-01,5.3727017630e-02,0.6666622540763052
180,0.16242200,1000,4.7014315638e-01,8.8634532941e-04,2.2103537231e-01,4.8857329813e-02,0.6666619317259037
180,0.16520900,1000,4.5903153361e-01,8.8270408634e-04,2.1071072723e-01,4.4399666695e-02,0.6666617407019
180,0.16795700,1000,4.4825628841e-01,8.2484472241e-04,2.0093437979e-01,4.0375171267e-02,0.6666621565169206
180,0.17066400,1000,4.3766933282e-01,8.7173373589e-04,1.9155520405e-01,3.6693977833e-02,0.6666613829297889
180,0.17333000,1000,4.2736104921e-01,8.2258357026e-04,1.8263814235e-01,3.3357184727e-02,0.6666617332677295
180,0.17595700,1000,4.1723032459e-01,8.0620694744e-04,1.7408179308e-01,3.0304922818e-02,0.6666616933953657
180,0.17854200,1000,4.0742815021e-01,8.1754242236e-04,1.6599836529e-01,2.7555900591e-02,0.6666613039859224
180,0.18108800,1000,3.9774609191e-01,8.2243820617e-04,1.5820262936e-01,2.5028499613e-02,0.6666609706925568
180,0.18359300,1000,3.8841635751e-01,7.8430317550e-04,1.5086788130e-01,2.2761488463e-02,0.6666612355426766
180,0.18605700,1000,3.7931128292e-01,7.9147769015e-04,1.4387767516e-01,2.0701145670e-02,0.6666608656045139
180,0.18848200,1000,3.7030980761e-01,7.7122575934e-04,1.3712994781e-01,1.8804948499e-02,0.6666608894833909
180,0.19086500,1000,3.6166230521e-01,7.6384340124e-04,1.3080020589e-01,1.7108998860e-02,0.6666607242621201
180,0.19320900,1000,3.5320858848e-01,8.1744664586e-04,1.2475697453e-01,1.5564635870e-02,0.6666595311568079
180,0.19551200,1000,3.4489471382e-01,8.0095866785e-04,1.1895300451e-01,1.4150122340e-02,0.6666594803155174
