L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
100,0.2590960,1.3751852330e-01,5.9496411470e-03,1.8946742480e-02,3.6159870654e-04,6.6423416082e-01
100,0.2594110,1.3558055120e-01,6.2230743358e-03,1.8420812518e-02,3.4210090193e-04,6.6394110149e-01
100,0.2596430,1.3401149500e-01,6.3579046211e-03,1.7999503743e-02,3.2680552138e-04,6.6376178800e-01
100,0.2598050,1.3292361150e-01,6.5492615173e-03,1.7711579321e-02,3.1663017038e-04,6.6355315274e-01
100,0.2599080,1.3208397280e-01,6.5580325083e-03,1.7489183661e-02,3.0877485163e-04,6.6350269523e-01
100,0.2599670,1.3171853580e-01,6.6573645335e-03,1.7394093176e-02,3.0552707345e-04,6.6339166854e-01
100,0.2599930,1.3150311250e-01,6.6396849000e-03,1.7337154013e-02,3.0353337469e-04,6.6338801004e-01
100,0.2600000,1.3145639160e-01,6.6857537715e-03,1.7325482196e-02,3.0317217139e-04,6.6333542687e-01
100,0.2600070,1.3147592790e-01,6.8607603570e-03,1.7332989650e-02,3.0355787575e-04,6.6319905998e-01
100,0.2600330,1.3111028570e-01,6.7877246126e-03,1.7235980222e-02,3.0014386912e-04,6.6322778928e-01
100,0.2600920,1.3083469080e-01,6.7763969678e-03,1.7163635873e-02,2.9762892695e-04,6.6322852496e-01
100,0.2601950,1.3011137380e-01,6.8670502208e-03,1.6976125971e-02,2.9128126067e-04,6.6308983657e-01
100,0.2603570,1.2898668030e-01,6.9652733587e-03,1.6686078728e-02,2.8153044353e-04,6.6294906740e-01
100,0.2605890,1.2706009140e-01,7.3544297255e-03,1.6198354463e-02,2.6571438903e-04,6.6243918883e-01
100,0.2609040,1.2477169780e-01,7.7592302108e-03,1.5628182225e-02,2.4776542280e-04,6.6185535814e-01
100,0.2613160,1.2141568060e-01,8.4886232921e-03,1.4813824221e-02,2.2338867297e-04,6.6068307753e-01
100,0.2618380,1.1695810650e-01,9.2344008925e-03,1.3764472836e-02,1.9372501476e-04,6.5916413970e-01
100,0.2624820,1.1131855130e-01,1.0647491368e-02,1.2505188936e-02,1.6130957767e-04,6.5615842773e-01
100,0.2632600,1.0324244220e-01,1.3037667987e-02,1.0828982658e-02,1.2334699561e-04,6.4938377895e-01
