L,rho,mean_density,std_density
20,0.2568440,1.8371731250e-01,4.9135206528e-02
20,0.2573280,1.8006107500e-01,4.9659654661e-02
20,0.2577730,1.7767526250e-01,5.0261232112e-02
20,0.2581770,1.7610417500e-01,5.0362146661e-02
20,0.2585400,1.7318897500e-01,5.0535293462e-02
20,0.2588640,1.7160307500e-01,5.0600811665e-02
20,0.2591460,1.6989343750e-01,5.0518371588e-02
20,0.2593890,1.6772975000e-01,5.0309680504e-02
20,0.2595910,1.6731162500e-01,5.0485811520e-02
20,0.2597530,1.6557021250e-01,5.0763678728e-02
20,0.2598740,1.6618807500e-01,5.0814386432e-02
20,0.2599550,1.6479286250e-01,5.0230335879e-02
20,0.2599950,1.6462688750e-01,5.0652618496e-02
20,0.2600050,1.6486826250e-01,5.0979636038e-02
20,0.2600450,1.6529617500e-01,5.0775690041e-02
20,0.2601260,1.6418832500e-01,5.1008180128e-02
20,0.2602470,1.6317748750e-01,5.0770133535e-02
20,0.2604090,1.6207670000e-01,5.1240137267e-02
20,0.2606110,1.6130095000e-01,5.1121263565e-02
20,0.2608540,1.5928363750e-01,5.1121550049e-02
20,0.2611360,1.5829088750e-01,5.0714847140e-02
20,0.2614600,1.5781652500e-01,5.0495316825e-02
20,0.2618230,1.5429273750e-01,5.1426570012e-02
20,0.2622270,1.5189765000e-01,5.1168832336e-02
20,0.2626720,1.4922330000e-01,5.1029087351e-02
20,0.2631560,1.4643726250e-01,5.0870135056e-02
20,0.2636820,1.4337667500e-01,5.0474247893e-02
20,0.2642470,1.4122233750e-01,5.0040011073e-02
20,0.2648530,1.3753932500e-01,5.0221105565e-02
20,0.2655000,1.3462091250e-01,4.9883973602e-02
20,0.2661870,1.3057683750e-01,4.9710714490e-02
20,0.2669140,1.2673150000e-01,4.9212139682e-02
20,0.2676820,1.2227538750e-01,4.8435063108e-02
20,0.2684900,1.1854537500e-01,4.7989538676e-02
20,0.2693380,1.1435813750e-01,4.7418499736e-02
20,0.2702270,1.0981916250e-01,4.6469691191e-02
20,0.2711560,1.0617742500e-01,4.5324128078e-02
20,0.2721260,1.0071427500e-01,4.4138942931e-02
20,0.2731360,9.6267825000e-02,4.2431589512e-02
