L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
320,0.06400000,1000,8.6921299622e-01,2.2725584655e-04,7.5553128438e-01,5.7082767760e-01,0.6666665756170376
320,0.06795900,1000,8.5508289679e-01,2.3781047422e-04,7.3116681688e-01,5.3460507935e-01,0.6666665636354179
320,0.07187800,1000,8.4067983813e-01,2.3984666119e-04,7.0674264772e-01,4.9948533257e-01,0.6666665582445429
320,0.07575700,1000,8.2610369376e-01,2.5582886033e-04,6.8244737822e-01,4.6573460253e-01,0.6666665389200849
320,0.07959500,1000,8.1136187927e-01,2.7792760528e-04,6.5830817630e-01,4.3336985818e-01,0.6666665103770449
320,0.08339300,1000,7.9650298917e-01,2.7298311154e-04,6.3441708620e-01,4.0248522818e-01,0.6666665102040723
320,0.08715100,1000,7.8156093674e-01,2.8315183838e-04,6.1083757793e-01,3.7312274232e-01,0.6666664918300487
320,0.09086800,1000,7.6660483627e-01,2.8522708985e-04,5.8768305627e-01,3.4537156568e-01,0.6666664822778815
320,0.09454500,1000,7.5167260220e-01,2.8384224713e-04,5.6501178139e-01,3.1923849501e-01,0.6666664767316259
320,0.09818100,1000,7.3673883670e-01,2.8628024640e-04,5.4278419538e-01,2.9461486051e-01,0.6666664655458132
320,0.10177700,1000,7.2190269299e-01,2.9642027078e-04,5.2114358593e-01,2.7159082014e-01,0.6666664420850206
320,0.10533200,1000,7.0713352234e-01,3.0198481379e-04,5.0003790952e-01,2.5003809318e-01,0.6666664237327387
320,0.10884700,1000,6.9244452115e-01,3.0587085574e-04,4.7947950833e-01,2.2990077816e-01,0.6666664067792752
320,0.11232200,1000,6.7781142059e-01,3.2296397348e-04,4.5942842609e-01,2.1107467020e-01,0.6666663642437015
320,0.11575600,1000,6.6329453076e-01,3.4314180921e-04,4.3995975217e-01,1.9356479053e-01,0.6666663101951598
320,0.11915000,1000,6.4885059256e-01,3.7141302334e-04,4.2100722927e-01,1.7724731918e-01,0.666666230211595
320,0.12250300,1000,6.3446820288e-01,3.7134947488e-04,4.0255003823e-01,1.6204675511e-01,0.6666662103593828
320,0.12581700,1000,6.2026840512e-01,3.7553986524e-04,3.8473303528e-01,1.4801972525e-01,0.6666661784059729
320,0.12908900,1000,6.0625274777e-01,3.6508022591e-04,3.6754252733e-01,1.3508770513e-01,0.6666661836766554
320,0.13232100,1000,5.9240886166e-01,3.7538569667e-04,3.5094840015e-01,1.2316497719e-01,0.6666661318156508
320,0.13551300,1000,5.7882449957e-01,3.7107346542e-04,3.3503793886e-01,1.1225060482e-01,0.6666661192518271
320,0.13866500,1000,5.6545582263e-01,3.4283358122e-04,3.1974040477e-01,1.0223407661e-01,0.6666661770459481
320,0.14177600,1000,5.5234414410e-01,3.4822322972e-04,3.0508417466e-01,9.3076501472e-02,0.6666661372043552
320,0.14484600,1000,5.3945619565e-01,3.3667400871e-04,2.9101310026e-01,8.4688756338e-02,0.6666661478430511
320,0.14787700,1000,5.2678440466e-01,3.5412164938e-04,2.7750193427e-01,7.7007462583e-02,0.6666660647430667
320,0.15086600,1000,5.1436635571e-01,3.3203636622e-04,2.6457285803e-01,6.9998913751e-02,0.6666661116768731
320,0.15381600,1000,5.0219693222e-01,3.4707042105e-04,2.5220187907e-01,6.3605909196e-02,0.6666660305083506
320,0.15672500,1000,4.9026490280e-01,3.5952854805e-04,2.4035980405e-01,5.7772959556e-02,0.6666659503362613
320,0.15959300,1000,4.7857329517e-01,3.4638692226e-04,2.2903251871e-01,5.2456004428e-02,0.6666659689290085
320,0.16242200,1000,4.6717725266e-01,3.3555688592e-04,2.1825469788e-01,4.7635211345e-02,0.6666659795215617
320,0.16520900,1000,4.5604194162e-01,3.3461212136e-04,2.0797436437e-01,4.3253429281e-02,0.6666659496048741
320,0.16795700,1000,4.4514187906e-01,3.3632570633e-04,1.9815140549e-01,3.9264069072e-02,0.6666659062354436
320,0.17066400,1000,4.3450134140e-01,3.3342941053e-04,1.8879152674e-01,3.5642324436e-02,0.6666658823302648
320,0.17333000,1000,4.2413624847e-01,3.2808385601e-04,1.7989166480e-01,3.2361088439e-02,0.6666658696750718
320,0.17595700,1000,4.1403576880e-01,3.2705529115e-04,1.7142572470e-01,2.9386852363e-02,0.6666658355268436
320,0.17854200,1000,4.0415046451e-01,3.3364035258e-04,1.6333770917e-01,2.6679279890e-02,0.6666657589156175
