L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
180,0.2708730,1.1221212620e-03,3.2859596194e-04,1.3671314328e-06,2.6808131391e-12,5.2189338630e-01
180,0.2721510,9.2156399177e-04,2.7466086263e-04,9.2471878039e-07,1.4053656134e-12,4.5216634035e-01
180,0.2735260,7.6062575446e-04,2.0465338969e-04,6.2043454826e-07,5.3293136710e-13,5.3851447683e-01
180,0.2750000,6.3418772291e-04,1.6410870566e-04,4.2912573516e-07,2.4703008582e-13,5.5284357675e-01
220,0.2450000,1.6666678257e-01,9.5505447457e-04,2.7778728541e-02,7.7175910800e-04,6.6662288705e-01
220,0.2464740,1.5994451020e-01,1.0095410993e-03,2.5583265516e-02,6.5460773133e-04,6.6661356949e-01
220,0.2478490,1.5336091814e-01,1.1213928057e-03,2.3520828736e-02,5.5334766437e-04,6.6659540030e-01
220,0.2491270,1.4689414243e-01,1.2595502405e-03,2.1579475547e-02,4.6581065892e-04,6.6656867673e-01
220,0.2503120,1.4052973317e-01,1.3681722836e-03,1.9750477800e-02,3.9022906756e-04,6.6654045863e-01
220,0.2514070,1.3424998749e-01,1.5084596153e-03,1.8025334592e-02,3.2507651452e-04,6.6649859343e-01
220,0.2524170,1.2800279869e-01,1.7048384015e-03,1.6387622945e-02,2.6874441636e-04,6.6643054974e-01
220,0.2533450,1.2184303402e-01,1.9011546772e-03,1.4849339327e-02,2.2071691106e-04,6.6634311443e-01
220,0.2541930,1.1576527782e-01,2.1625921089e-03,1.3406276353e-02,1.7997771976e-04,6.6620397902e-01
220,0.2549660,1.0968424589e-01,2.4799307764e-03,1.2036783852e-02,1.4517823623e-04,6.6599010154e-01
220,0.2556680,1.0377013625e-01,2.8357623433e-03,1.0776282726e-02,1.1647137475e-04,6.6568182072e-01
220,0.2563010,9.7850460406e-02,3.3283686840e-03,9.5857906397e-03,9.2305214127e-05,6.6515092740e-01
220,0.2568690,9.2034794534e-02,3.8401058354e-03,8.4851498178e-03,7.2488004719e-05,6.6439697921e-01
220,0.2573750,8.6410205485e-02,4.4185122243e-03,7.4862468622e-03,5.6609360734e-05,6.6330341790e-01
220,0.2578240,8.0581473929e-02,5.3341386365e-03,6.5218269756e-03,4.3227033581e-05,6.6123726288e-01
220,0.2582190,7.5003130203e-02,6.2836533025e-03,5.6649538391e-03,3.2892741118e-05,6.5834635259e-01
220,0.2585620,6.9640635650e-02,7.7467749528e-03,4.9098306559e-03,2.5125993879e-05,6.5256867828e-01
220,0.2588590,6.4066484654e-02,9.4395600412e-03,4.1936197497e-03,1.8807055043e-05,6.4353126653e-01
220,0.2591110,5.9131665327e-02,1.0536656861e-02,3.6075749821e-03,1.4301754247e-05,6.3369965867e-01
220,0.2593240,5.4818294853e-02,1.1399326751e-02,3.1349901010e-03,1.1121065863e-05,6.2281639209e-01
220,0.2594990,5.0897878907e-02,1.1930654207e-02,2.7329345870e-03,8.7289538429e-06,6.1043272418e-01
220,0.2596410,4.8091088092e-02,1.2433977887e-02,2.4673565599e-03,7.3170026385e-06,5.9936570004e-01
