# d L W rho N_samples N_thermal mean_sweeps sweeps_std dis_mR dis_mAbsR dis_mR2 dis_mR3 dis_mAbsR3 dis_mR4 q_EA dis_mAbsR_sq dis_mR_p4 dis_mAbsR_p4 dis_mR2_sq chi_th_abs chi_dis_abs chi_tot_abs chi_tot_abs_sem_jk chi_th_R chi_dis_R chi_tot_R U4 U_EA U_EA_abs U22 acf_probe_warn_count acf_probe_warn_frac
2 300 300 0.1245901639 5000 128 48.2044204142 16.2070181643 0.0004253684 0.3833669028 0.2062514215 0.0006052537 0.1289654230 0.0879093845 0.2035608156 0.2042047672 0.0858821942 0.0859751875 0.0866014872 184.1988867865 5151.1126536821 5335.3115404686 75.0499875320 242.1545299090 18320.4571175365 18562.6116474455 0.3111572626 0.3091344891 0.3127414940 0.3214057197 0 0.0000000000
2 300 300 0.1259016393 5000 128 42.8394257606 13.9878736799 -0.0025568367 0.3567297680 0.1811173681 -0.0017775122 0.1079227457 0.0705516323 0.1786837325 0.1792921319 0.0688282967 0.0688979084 0.0694368885 164.2712549376 4683.2404067129 4847.5116616506 71.3809684587 219.0272002751 16080.9475611800 16299.9747614551 0.2830883893 0.2814189908 0.2855656614 0.2944158774 0 0.0000000000
2 300 300 0.1272131148 5000 128 69.5909941010 21.7907073089 -0.0017734806 0.3304185352 0.1568400194 -0.0011661321 0.0881261788 0.0547080416 0.1545953362 0.1551477483 0.0533086308 0.0533502547 0.0537958880 152.3044028634 4137.4205886239 4289.7249914872 66.7693404869 202.0214936214 13913.2971849288 14115.3186785502 0.2586622101 0.2564956783 0.2612044198 0.2710226226 0 0.0000000000
2 300 300 0.1285245902 5000 128 61.8442118722 18.8371600760 0.0001379230 0.3085359847 0.1392989498 0.0007485050 0.0750358829 0.0448620049 0.1370139361 0.1375864761 0.0435581207 0.0436147444 0.0440289887 154.1226405452 3815.2819954730 3969.4046360182 63.8790918377 205.6512382167 12331.2525353941 12536.9037736107 0.2293419147 0.2265746658 0.2320011284 0.2436518122 0 0.0000000000
2 300 300 0.1298360656 5000 128 40.8317861881 11.9858659355 -0.0018405631 0.2893277684 0.1237008301 -0.0000394602 0.0636370465 0.0365907769 0.1214867466 0.1220054818 0.0354423378 0.0354723474 0.0358447008 152.5813417007 3446.5431809722 3599.1245226729 60.9970086972 199.2675109851 10933.5023043715 11132.7698153567 0.2029140604 0.1995332400 0.2056535010 0.2191664286 0 0.0000000000
2 300 300 0.1311475410 5000 128 41.3116442827 12.0346562850 0.0003031160 0.2716463346 0.1099192892 0.0003117025 0.0536338003 0.0293063639 0.1080129001 0.1084367769 0.0284255436 0.0284528514 0.0287356489 133.4261087147 3118.0541243508 3251.4802330655 55.8728809395 171.5750259217 9721.1527361063 9892.7277620280 0.1914761023 0.1878499600 0.1934127727 0.2072213782 0 0.0000000000
2 300 300 0.1324590164 5000 128 97.1712534982 27.3336443345 -0.0005582230 0.2532654310 0.0963188647 0.0002336846 0.0445983776 0.0233286811 0.0944792144 0.0948632940 0.0224863300 0.0225104848 0.0227821723 131.0013641054 2764.7923885499 2895.7937526553 52.6258272106 165.5685261970 8503.1012491634 8668.6697753604 0.1618027677 0.1602987900 0.1661898199 0.1814387749 0 0.0000000000
2 300 300 0.1337704918 5000 128 98.9795289598 26.9620933470 0.0029039710 0.2404955820 0.0865833883 0.0010998797 0.0379920126 0.0188671945 0.0849586592 0.0852785735 0.0182071162 0.0182167273 0.0184327577 117.4333311749 2469.6403712698 2587.0737024446 47.6164985190 146.2256203957 7645.5203527492 7791.7459731448 0.1610870144 0.1591769465 0.1650331206 0.1804038575 0 0.0000000000
2 300 300 0.1350819672 5000 128 117.5211357478 31.7121094499 0.0039707743 0.2231728487 0.0752443255 0.0011431323 0.0310322351 0.0145427883 0.0737564833 0.0740093362 0.0139861566 0.0139921542 0.0141755580 111.1490301942 2178.2894278245 2289.4384580187 43.1406328984 133.9057991265 6636.6644584921 6770.5702576186 0.1437927083 0.1430080784 0.1484889078 0.1654134078 0 0.0000000000
2 300 300 0.1363934426 5000 128 68.3360154309 18.2133042217 0.0057095632 0.2115903510 0.0680310303 0.0010729392 0.0268368798 0.0120527529 0.0666072588 0.0668646161 0.0115403471 0.0115485938 0.0117169883 104.9772719553 1988.4725534276 2093.4498253828 39.7700448892 128.1394323109 5991.7193706175 6119.8588029284 0.1319376888 0.1329293319 0.1389762299 0.1561200951 0 0.0000000000
2 300 300 0.1377049180 5000 128 117.5339794514 30.3065701620 0.0036676940 0.2003792311 0.0612707599 0.0013097033 0.0231121585 0.0099589652 0.0599434623 0.0601912090 0.0095582259 0.0095629064 0.0096952220 97.1595816697 1803.5435454802 1900.7031271498 37.0157081847 119.4567835115 5393.7009298290 5513.1577133405 0.1157268699 0.1133088238 0.1201624007 0.1391450691 0 0.0000000000
2 300 300 0.1390163934 5000 128 118.1205307167 30.9713051454 0.0046310420 0.1895989069 0.0550095205 0.0008777317 0.0197662458 0.0081318597 0.0538189794 0.0540179673 0.0077957285 0.0078002469 0.0079108657 89.2397887337 1626.3199632778 1715.5597520114 33.8648619651 107.1486960935 4841.7779608546 4948.9266569481 0.1042374467 0.1028510863 0.1089324623 0.1285809787 0 0.0000000000
2 300 300 0.1403278689 5000 128 111.3982671027 28.3720775018 0.0036295107 0.1797701781 0.0494667594 0.0005800099 0.0168879477 0.0066355320 0.0482942999 0.0485087197 0.0063437712 0.0063470888 0.0064435454 86.2235651882 1457.2262543098 1543.4498194980 31.3536139013 105.5213522185 4345.3013889637 4450.8227411822 0.0960850486 0.0933607759 0.1008882014 0.1222381141 0 0.0000000000
2 300 300 0.1416393443 5000 128 61.9877823498 15.4805204341 0.0022917879 0.1698928883 0.0443994212 0.0000908670 0.0144680601 0.0054434422 0.0432905983 0.0434656412 0.0051796823 0.0051814146 0.0052685614 84.0401976678 1314.1842946481 1398.2244923159 28.8537492418 99.7940636545 3895.6811376563 3995.4752013107 0.0795552070 0.0787135258 0.0858132862 0.1091262263 0 0.0000000000
2 300 300 0.1429508197 5000 128 79.8774830406 19.4684803445 0.0023931606 0.1635213971 0.0410245768 0.0002635248 0.0128493899 0.0046595350 0.0400117539 0.0401786603 0.0044364601 0.0044378714 0.0045121048 76.1324904164 1209.5471659688 1285.6796563852 26.9530841933 91.1540627946 3600.5424009131 3691.6964637078 0.0771457825 0.0762804144 0.0836475282 0.1063453829 0 0.0000000000
2 300 300 0.1442622951 5000 128 171.1358831752 41.6572978686 0.0025816552 0.1547954102 0.0368689544 0.0003231514 0.0110025109 0.0038215080 0.0359329781 0.0360856882 0.0036383126 0.0036396575 0.0037000514 70.4939561349 1091.1662305223 1161.6601866573 25.0779692542 84.2378694049 3233.3681835866 3317.6060529915 0.0628871919 0.0607259288 0.0683146150 0.0926708545 0 0.0000000000
2 300 300 0.1455737705 5000 128 147.4636926790 35.6640430476 0.0026657586 0.1482689647 0.0338992136 0.0004663109 0.0097101816 0.0032330927 0.0330244980 0.0331587481 0.0030786194 0.0030794531 0.0031305527 66.6418969480 1005.7555977942 1072.3974947422 23.0030099689 78.7244054900 2971.5652551684 3050.2896606584 0.0621839762 0.0590591995 0.0664102284 0.0919275110 0 0.0000000000
2 300 300 0.1468852459 5000 128 151.5020080437 35.7217803066 0.0034666049 0.1395402864 0.0303815041 0.0003631960 0.0082939770 0.0026252066 0.0295483170 0.0296847844 0.0024856390 0.0024863491 0.0025325863 62.7047724601 919.1963577449 981.9011302051 20.6499068760 74.9868386033 2658.2669665466 2733.2538051499 0.0519664862 0.0510325936 0.0594691489 0.0854141900 0 0.0000000000
