L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
6400,0.24873693,5.6238788831e-02,3.7842276664e-03,2.8420169595e-05
6400,0.24885855,5.1279807610e-02,3.1409988644e-03,1.9632490041e-05
6400,0.24898596,4.6395684314e-02,2.5669727381e-03,1.3168953490e-05
6400,0.24911916,4.1617356101e-02,2.0453046726e-03,8.1703958144e-06
6400,0.24925816,3.7648887922e-02,1.6736828713e-03,5.5970459855e-06
6400,0.24940294,3.3828266782e-02,1.3409309614e-03,3.5430710779e-06
6400,0.24955352,3.0818832542e-02,1.1043906348e-03,2.3207741440e-06
6400,0.24970989,2.7418049836e-02,8.6642765705e-04,1.3779752258e-06
6400,0.24987205,2.4850648628e-02,7.0743123025e-04,8.8473706945e-07
6600,0.24500000,3.6064364700e-01,1.3014322820e-01,1.6977015559e-02
6600,0.24516795,3.5560359142e-01,1.2656827150e-01,1.6072895993e-02
6600,0.24533011,3.4988703901e-01,1.2259258951e-01,1.5103636103e-02
6600,0.24548648,3.4429022328e-01,1.1875428188e-01,1.4194035856e-02
6600,0.24563706,3.3823235076e-01,1.1472341826e-01,1.3285289417e-02
6600,0.24578184,3.3174268631e-01,1.1045290779e-01,1.2347575274e-02
6600,0.24592084,3.2446077758e-01,1.0583897848e-01,1.1395318639e-02
6600,0.24605404,3.1635745319e-01,1.0083834045e-01,1.0412802160e-02
6600,0.24618145,3.0844240457e-01,9.6110455548e-02,9.5296467533e-03
6600,0.24630307,2.9897259889e-01,9.0690995294e-02,8.5894486792e-03
6600,0.24641890,2.9023765282e-01,8.5736136133e-02,7.7481245210e-03
6600,0.24652894,2.8000416392e-01,8.0239337309e-02,6.8895046589e-03
6600,0.24663319,2.6885527796e-01,7.4553910700e-02,6.0788305609e-03
6600,0.24673164,2.5887371520e-01,6.9513276761e-02,5.3656803482e-03
6600,0.24682430,2.4772348847e-01,6.4173444117e-02,4.6813578122e-03
6600,0.24691117,2.3710647444e-01,5.9200618852e-02,4.0669806041e-03
6600,0.24699226,2.2771275993e-01,5.5062298206e-02,3.6017320220e-03
6600,0.24706754,2.1768736422e-01,5.0696460075e-02,3.1212727938e-03
6600,0.24713704,2.0912341298e-01,4.7197284762e-02,2.7709269745e-03
6600,0.24720075,2.0013323393e-01,4.3555412196e-02,2.4123967399e-03
6600,0.24725866,1.9249519695e-01,4.0524527682e-02,2.1300640248e-03
6600,0.24731078,1.8672843951e-01,3.8418045245e-02,1.9526999304e-03
6600,0.24735712,1.7926298049e-01,3.5572737485e-02,1.7066160153e-03
6600,0.24739766,1.7461009976e-01,3.3946337728e-02,1.5794161738e-03
6600,0.24743240,1.6922973427e-01,3.2146151371e-02,1.4489713005e-03
6600,0.24746136,1.6727061396e-01,3.1409624220e-02,1.3871903360e-03
6600,0.24748453,1.6394568305e-01,3.0186642704e-02,1.2837424412e-03
6600,0.24750190,1.6121046535e-01,2.9256726267e-02,1.2204929706e-03
6600,0.24751348,1.6042032325e-01,2.9062835719e-02,1.2165195639e-03
6600,0.24751928,1.5860363600e-01,2.8435981517e-02,1.1676424344e-03
6600,0.24752072,1.5922840887e-01,2.8643099551e-02,1.1807151918e-03
6600,0.24752652,1.5866563911e-01,2.8426349545e-02,1.1621229091e-03
6600,0.24753810,1.5751454116e-01,2.8110020414e-02,1.1465707067e-03
6600,0.24755547,1.5418812504e-01,2.7008144433e-02,1.0697633423e-03
6600,0.24757864,1.5128949615e-01,2.6055604176e-02,1.0019260584e-03
6600,0.24760760,1.4875289054e-01,2.5215611525e-02,9.4596109711e-04
