L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
4000,0.28993827,1.9393625000e-04,3.8525047531e-08,1.6483687386e-15
4000,0.29473829,1.5368906250e-04,2.4201087566e-08,6.5382639683e-16
4000,0.29988726,1.2353831250e-04,1.5577215512e-08,2.6560004012e-16
8000,0.00000000,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
8000,0.01469901,9.9665123273e-01,9.9331368012e-01,9.8667206873e-01
8000,0.02880420,9.8754215405e-01,9.7523950757e-01,9.5109210318e-01
8000,0.04232782,9.7391573378e-01,9.4851185972e-01,8.9967476022e-01
8000,0.05528211,9.5683084319e-01,9.1552526766e-01,8.3818653472e-01
8000,0.06767932,9.3719405481e-01,8.7833270363e-01,7.7146836375e-01
8000,0.07953168,9.1574289197e-01,8.3858505449e-01,7.0322492814e-01
8000,0.09085144,8.9309999966e-01,7.9762762176e-01,6.3620986245e-01
8000,0.10165085,8.6976297319e-01,7.5648764542e-01,5.7227360575e-01
8000,0.11194215,8.4614514945e-01,7.1596163059e-01,5.1260110414e-01
8000,0.12173758,8.2258449183e-01,6.7664526588e-01,4.5784886911e-01
8000,0.13104938,7.9930704548e-01,6.3889177290e-01,4.0818274844e-01
8000,0.13988981,7.7650891402e-01,6.0296611610e-01,3.6356819156e-01
8000,0.14827109,7.5436238948e-01,5.6906264050e-01,3.2383234762e-01
8000,0.15620549,7.3295465842e-01,5.3722255699e-01,2.8860813093e-01
8000,0.16370523,7.1233148956e-01,5.0741618032e-01,2.5747123952e-01
8000,0.17078257,6.9256323491e-01,4.7964386463e-01,2.3005829499e-01
8000,0.17744975,6.7364736819e-01,4.5380080894e-01,2.0593523279e-01
8000,0.18371901,6.5557071119e-01,4.2977299018e-01,1.8470487949e-01
8000,0.18960259,6.3829598353e-01,4.0742179741e-01,1.6599257775e-01
8000,0.19511274,6.2182342320e-01,3.8666440790e-01,1.4950942350e-01
8000,0.20026171,6.0606523684e-01,3.6731511155e-01,1.3492045031e-01
8000,0.20506173,5.9097853787e-01,3.4925567736e-01,1.2197959123e-01
8000,0.20952505,5.7652825961e-01,3.3238488792e-01,1.1047978525e-01
8000,0.21366391,5.6259214136e-01,3.1650997626e-01,1.0017863945e-01
8000,0.21749056,5.4913872825e-01,3.0155340856e-01,9.0934537461e-02
8000,0.22101724,5.3603692381e-01,2.8733567076e-01,8.2561887758e-02
8000,0.22425620,5.2329179366e-01,2.7383440984e-01,7.4985402889e-02
8000,0.22721967,5.1078354855e-01,2.6089997265e-01,6.8068940970e-02
8000,0.22991991,4.9839024912e-01,2.4839303472e-01,6.1699292752e-02
8000,0.23236915,4.8611561687e-01,2.3630863857e-01,5.5842004827e-02
8000,0.23457963,4.7380944803e-01,2.2449574193e-01,5.0398651430e-02
8000,0.23656362,4.6142119830e-01,2.1291005355e-01,4.5331143202e-02
8000,0.23833333,4.4876008334e-01,2.0138649935e-01,4.0557236356e-02
8000,0.23990103,4.3583080005e-01,1.8994979767e-01,3.6081921759e-02
8000,0.24127895,4.2254922802e-01,1.7855029325e-01,3.1881949462e-02
8000,0.24247934,4.0838063258e-01,1.6677905716e-01,2.7818129587e-02
8000,0.24351444,3.9354353094e-01,1.5488624773e-01,2.3995753276e-02
8000,0.24439649,3.7757219961e-01,1.4258190545e-01,2.0341504667e-02
8000,0.24513774,3.5958846661e-01,1.2936014057e-01,1.6762158669e-02
8000,0.24575043,3.3814402056e-01,1.1449842624e-01,1.3176850640e-02
8000,0.24624681,3.1035038016e-01,9.6998532099e-02,9.6232061812e-03
8000,0.24663912,2.7631977450e-01,7.8097004976e-02,6.5264767487e-03
8000,0.24693960,2.3847403775e-01,5.9760462126e-02,4.1061069073e-03
8000,0.24716049,2.0995545812e-01,4.7298829369e-02,2.7384867547e-03
8000,0.24731405,1.8726823589e-01,3.8474907370e-02,1.9394955163e-03
8000,0.24741251,1.7169653469e-01,3.2821872226e-02,1.4779495203e-03
8000,0.24746812,1.6521311659e-01,3.0293802527e-02,1.2609738467e-03
8000,0.24749311,1.6191255183e-01,2.9432928350e-02,1.2201400817e-03
8000,0.24749974,1.6319648183e-01,2.9710157954e-02,1.2248579113e-03
8000,0.24750026,1.5970258598e-01,2.8668313393e-02,1.1635963623e-03
8000,0.24750689,1.5570295483e-01,2.7469329609e-02,1.0928989934e-03
8000,0.24753188,1.5158923598e-01,2.6206060743e-02,1.0151367723e-03
8000,0.24758749,1.4441510541e-01,2.3861772230e-02,8.5368400927e-04
8000,0.24768595,1.3420842583e-01,2.0843695261e-02,6.7612178421e-04
8000,0.24783951,1.1436316520e-01,1.5110575501e-02,3.6627831764e-04
8000,0.24806040,9.0466889203e-02,9.7725875961e-03,1.7543701447e-04
8000,0.24836088,6.7008969047e-02,5.3801027942e-03,5.7275923557e-05
8000,0.24875319,4.5033357156e-02,2.4188115675e-03,1.1954948816e-05
8000,0.24924957,2.9936227594e-02,1.0482163020e-03,2.1283772095e-06
8000,0.24986226,1.8989341047e-02,4.1028895302e-04,3.1701243922e-07
8000,0.25060351,1.2246246906e-02,1.6517604556e-04,4.1586163146e-08
8000,0.25148556,7.7209320312e-03,6.4842645833e-05,6.1183345937e-09
8000,0.25252066,4.9636460781e-03,2.6448886798e-05,9.7058908264e-10
8000,0.25372105,3.3074638125e-03,1.1608739088e-05,1.7720791685e-10
8000,0.25509897,2.1888738437e-03,5.0125733240e-06,3.0699052945e-11
8000,0.25666667,1.5027727969e-03,2.3619380671e-06,6.8166344943e-12
8000,0.25843638,1.0487975469e-03,1.1441996141e-06,1.5584387802e-12
8000,0.26042037,7.3048803125e-04,5.5031769459e-07,3.4625112850e-13
8000,0.26263085,5.2658359375e-04,2.8557923105e-07,9.2371304913e-14
8000,0.26508009,3.8342931250e-04,1.5137468913e-07,2.6153940835e-14
8000,0.26778033,2.8193992187e-04,8.1442490745e-08,7.3585778142e-15
8000,0.27074380,2.0956662500e-04,4.4963746078e-08,2.2542025004e-15
8000,0.27398276,1.5830087500e-04,2.5637898181e-08,7.2830354997e-16
8000,0.27750944,1.2009401562e-04,1.4723459917e-08,2.3711597800e-16
8000,0.28133609,9.3149437500e-05,8.8620304517e-09,8.6317537594e-17
8000,0.28547495,7.1956921875e-05,5.2737237053e-09,3.0089568605e-17
8000,0.28993827,5.6480937500e-05,3.2442587090e-09,1.1317497115e-17
8000,0.29473829,4.5075265625e-05,2.0663380735e-09,4.6008323955e-18
8000,0.29988726,3.5936718750e-05,1.3135450005e-09,1.8600859636e-18
12000,0.00000000,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
12000,0.01469901,9.9665154582e-01,9.9331430397e-01,9.8667330719e-01
12000,0.02880420,9.8754051410e-01,9.7523626771e-01,9.5108578066e-01
12000,0.04232782,9.7391130901e-01,9.4850323930e-01,8.9965840063e-01
12000,0.05528211,9.5682950013e-01,9.1552269458e-01,8.3818181261e-01
12000,0.06767932,9.3718700280e-01,8.7831948159e-01,7.7144512359e-01
12000,0.07953168,9.1573769540e-01,8.3857553104e-01,7.0320893560e-01
12000,0.09085144,8.9308827364e-01,7.9760667017e-01,6.3617641837e-01
12000,0.10165085,8.6976059128e-01,7.5648349227e-01,5.7226729258e-01
12000,0.11194215,8.4614503108e-01,7.1596142132e-01,5.1260077889e-01
12000,0.12173758,8.2256588364e-01,6.7661464165e-01,4.5780739692e-01
12000,0.13104938,7.9928046758e-01,6.3884927578e-01,4.0812842250e-01
12000,0.13988981,7.7650065191e-01,6.0295327269e-01,3.6355267383e-01
12000,0.14827109,7.5435390980e-01,5.6904983210e-01,3.2381773616e-01
12000,0.15620549,7.3293499726e-01,5.3719372146e-01,2.8857711854e-01
12000,0.16370523,7.1232550619e-01,5.0740763932e-01,2.5746253791e-01
12000,0.17078257,6.9254715619e-01,4.7962157611e-01,2.3003688039e-01
12000,0.17744975,6.7363574359e-01,4.5378512986e-01,2.0592097099e-01
12000,0.18371901,6.5556048782e-01,4.2975956773e-01,1.8469331106e-01
12000,0.18960259,6.3830565436e-01,4.0743412381e-01,1.6600259038e-01
12000,0.19511274,6.2182469139e-01,3.8666596383e-01,1.4951059390e-01
12000,0.20026171,6.0607599085e-01,3.6732812309e-01,1.3492997412e-01
12000,0.20506173,5.9101734240e-01,3.4930151890e-01,1.2201157889e-01
12000,0.20952505,5.7654188660e-01,3.3240056952e-01,1.1049016856e-01
12000,0.21366391,5.6263115087e-01,3.1655384057e-01,1.0020637024e-01
12000,0.21749056,5.4918250058e-01,3.0160145002e-01,9.0963472157e-02
12000,0.22101724,5.3613446488e-01,2.8744019890e-01,8.2621907568e-02
12000,0.22425620,5.2340969902e-01,2.7395776189e-01,7.5052908850e-02
12000,0.22721967,5.1091581360e-01,2.6103503239e-01,6.8139354765e-02
12000,0.22991991,4.9861981650e-01,2.4862180236e-01,6.1812881105e-02
12000,0.23236915,4.8636748547e-01,2.3655344167e-01,5.5957635560e-02
12000,0.23457963,4.7413135389e-01,2.2480068817e-01,5.0535481967e-02
12000,0.23656362,4.6187990633e-01,2.1333328876e-01,4.5511297634e-02
12000,0.23833333,4.4935949344e-01,2.0192431332e-01,4.0773718226e-02
12000,0.23990103,4.3662630505e-01,1.9064310465e-01,3.6345231350e-02
12000,0.24127895,4.2354885853e-01,1.7939468154e-01,3.2183201783e-02
12000,0.24247934,4.0995904301e-01,1.6806810264e-01,2.8248019875e-02
12000,0.24351444,3.9546814664e-01,1.5639885291e-01,2.4462967685e-02
12000,0.24439649,3.8024848147e-01,1.4459674492e-01,2.0912730502e-02
12000,0.24513774,3.6363531546e-01,1.3224701018e-01,1.7497861282e-02
12000,0.24575043,3.4495333466e-01,1.1904437187e-01,1.4195194911e-02
12000,0.24624681,3.2138321881e-01,1.0354321614e-01,1.0809792172e-02
12000,0.24663912,2.9179681666e-01,8.5921012830e-02,7.5912493345e-03
12000,0.24693960,2.5643346046e-01,6.7539020599e-02,4.9316737656e-03
12000,0.24716049,2.1647682495e-01,4.9474140374e-02,2.8656731780e-03
12000,0.24731405,1.9022683221e-01,3.9309254969e-02,1.9654957115e-03
12000,0.24741251,1.7091058968e-01,3.2198070280e-02,1.3777541618e-03
12000,0.24746812,1.5941474682e-01,2.8456655615e-02,1.1384477748e-03
12000,0.24749311,1.5469090726e-01,2.6995635840e-02,1.0376073151e-03
12000,0.24749974,1.5410132261e-01,2.6848391228e-02,1.0303070613e-03
12000,0.24750026,1.5323275158e-01,2.6398743932e-02,9.8901574695e-04
12000,0.24750689,1.5121632781e-01,2.5654744805e-02,9.3168542114e-04
12000,0.24753188,1.4506275382e-01,2.3979673818e-02,8.4999229389e-04
12000,0.24758749,1.3802218606e-01,2.1727785249e-02,7.0335179736e-04
