sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
210, 1777257, 360324, 362634, 349791, 347630, 178439, 178439
211, 1776012, 383121, 345087, 332574, 369718, 172756, 172756
212, 1777062, 355851, 367460, 354638, 343271, 177921, 177921
213, 1779007, 377618, 352755, 340003, 364771, 171930, 171930
214, 1776151, 353719, 362091, 348979, 341198, 185082, 185082
215, 1781760, 368855, 351199, 338966, 356236, 183252, 183252
216, 1777063, 357034, 362906, 350064, 344347, 181356, 181356
217, 1781961, 358118, 369371, 356621, 345795, 176028, 176028
218, 1777140, 356420, 364929, 352184, 343605, 180001, 180001
219, 1775609, 353409, 366380, 353258, 340610, 180976, 180976
220, 1782834, 352186, 382744, 369604, 339722, 169289, 169289
221, 1779808, 364797, 362781, 349961, 352283, 174993, 174993
222, 1778721, 376633, 349655, 337071, 363916, 175723, 175723
223, 1777235, 367438, 360496, 347608, 354803, 173445, 173445
224, 1777352, 359330, 369086, 356151, 346673, 173056, 173056
225, 1776781, 376761, 352114, 339249, 364433, 172112, 172112
226, 1776136, 369611, 361263, 348523, 356313, 170213, 170213
227, 1779046, 360713, 369213, 355907, 347881, 172666, 172666
228, 1781046, 362376, 366359, 353438, 349855, 174509, 174509
229, 1776527, 370573, 357703, 344893, 357308, 173025, 173025
230, 1779703, 364885, 364296, 351567, 352127, 173414, 173414
231, 1778549, 368416, 351852, 339180, 355731, 181685, 181685
232, 1776094, 360331, 368820, 355913, 347540, 171745, 171745
233, 1776775, 362291, 360666, 347730, 349386, 178351, 178351
234, 1780196, 353433, 367969, 355385, 340907, 181251, 181251
235, 1779797, 362258, 360803, 348224, 349596, 179458, 179458
236, 1777636, 386104, 342659, 330099, 373024, 172875, 172875
237, 1776368, 361306, 362692, 349725, 348615, 177015, 177015
238, 1775365, 351292, 377479, 364370, 338592, 171816, 171816
239, 1779999, 376739, 343625, 331456, 363725, 182227, 182227
240, 1779339, 362770, 359095, 346627, 350075, 180386, 180386
241, 1776667, 361475, 363650, 350839, 348987, 175858, 175858
242, 1780607, 346709, 377821, 365018, 334079, 178490, 178490
243, 1780752, 368024, 361335, 348813, 355604, 173488, 173488
244, 1780542, 350499, 367882, 355164, 337975, 184511, 184511
245, 1773004, 368993, 356246, 343136, 355889, 174370, 174370
246, 1775012, 378501, 346721, 334213, 365233, 175172, 175172
247, 1778985, 361272, 368264, 355179, 348542, 172864, 172864
248, 1779627, 364408, 364596, 351655, 351776, 173596, 173596
249, 1779438, 363565, 357775, 345190, 350818, 181045, 181045
250, 1780062, 366491, 361029, 348576, 353888, 175039, 175039
251, 1779217, 371949, 354707, 341841, 358948, 175886, 175886
252, 1779197, 373860, 354084, 341431, 360940, 174441, 174441
