L,rho,E_1st,E_2nd,E_4th,abs_R_1st,R_1st,R_2nd,R_4th,bond_energy_1st,bond_energy_2nd,bond_energy_4th,bond_defect_1st,bond_defect_2nd,bond_defect_4th
3200,0.086,0.50023745,0.25023751,0.06261881,0.98797324,-0.02049161,0.97807031,0.96016154,-1.90900620,3.64433692,13.28166149,0.00303203,0.00001722,0.00000000
3200,0.087,0.50024962,0.25024969,0.06262491,0.98339354,-0.02014508,0.97090533,0.94966887,-1.90688692,3.63625272,13.22284282,0.00318955,0.00001889,0.00000000
3200,0.088,0.50026243,0.25026250,0.06263132,0.97292489,-0.02260226,0.95503902,0.92763165,-1.90473609,3.62805723,13.16334564,0.00335541,0.00002064,0.00000000
3200,0.089,0.50027598,0.25027606,0.06263811,0.95321477,-0.02738501,0.92653651,0.88948121,-1.90254115,3.61970278,13.10282678,0.00353574,0.00002245,0.00000000
3200,0.09,0.50029051,0.25029059,0.06264538,0.92167995,-0.01985806,0.88120302,0.83001088,-1.90019510,3.61078298,13.03835429,0.00378412,0.00002467,0.00000000
3200,0.091,0.50030597,0.25030606,0.06265312,0.87515795,-0.02163722,0.81528503,0.74533510,-1.89782419,3.60177867,12.97341489,0.00403725,0.00002676,0.00000000
3200,0.092,0.50032259,0.25032269,0.06266145,0.81296334,-0.02270195,0.73023288,0.64095008,-1.89537027,3.59246963,12.90643012,0.00432457,0.00002895,0.00000000
3200,0.093,0.50034064,0.25034075,0.06267049,0.73430678,-0.02267361,0.62520910,0.51628693,-1.89281669,3.58279347,12.83696025,0.00465391,0.00003122,0.00000000
3200,0.094,0.50036020,0.25036033,0.06268029,0.65653207,-0.02703929,0.52325232,0.39907735,-1.89025435,3.57309675,12.76752418,0.00498049,0.00003356,0.00000000
3200,0.095,0.50038135,0.25038150,0.06269089,0.57608008,-0.02963333,0.42436747,0.29371050,-1.88763262,3.56318792,12.69675045,0.00532967,0.00003611,0.00000000
3200,0.096,0.50040418,0.25040435,0.06270234,0.49948989,-0.03083428,0.33329814,0.20176609,-1.88495791,3.55309280,12.62484482,0.00569787,0.00003903,0.00000000
3200,0.097,0.50042878,0.25042896,0.06271467,0.43074649,-0.02949073,0.25838180,0.13495083,-1.88224142,3.54285489,12.55213479,0.00608020,0.00004246,0.00000000
3200,0.098,0.50045520,0.25045541,0.06272791,0.37212525,-0.02924117,0.19959578,0.08835270,-1.87949132,3.53250610,12.47886091,0.00647174,0.00004646,0.00000000
3200,0.099,0.50048339,0.25048363,0.06274205,0.32327519,-0.03230544,0.15449943,0.05663051,-1.87675093,3.52220954,12.40617842,0.00685171,0.00005077,0.00000000
3200,0.1,0.50051348,0.25051374,0.06275714,0.28382737,-0.03378399,0.12020851,0.03589566,-1.87394722,3.51169122,12.33215830,0.00725615,0.00005587,0.00000000
